Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,82.55,-62.23,90.0,top
C2,100n,C_0805_2012Metric,90.17,-62.23,-90.0,top
ENC1,EC11N,Encoder_EVQWKL001,86.035,-50.27,0.0,top
J1,Conn_01x06,PinHeader_1x06_P2.54mm_Vertical,86.36,-69.215,90.0,top
R1,10k,R_0805_2012Metric,80.01,-62.23,90.0,top
R2,10k,R_0805_2012Metric,92.71,-62.23,90.0,top
